Date,Fighter 1,Fighter 2,Result,Odds 1,Odds 2
2021-11-20,Michael Chiesa,Sean Brady,2,2.4,1.5
2021-11-20,Ketlen Vieira,Miesha Tate,1,1.8,1.83
2021-11-20,Joanne Calderwood,Taila Santos,2,3.7,1.22
2021-11-13,Max Holloway,Yair Rodriguez,1,1.12,5.25
2021-11-13,Felicia Spencer,Leah Letson,1,1.25,3.5
2021-11-13,Ben Rothwell,Marcos Rogerio,2,1.56,2.35
2021-11-13,Joel Alvarez,Thiago Moises,1,2.95,1.34
2021-11-06,Kamaru Usman,Colby Covington,1,1.31,3.2
2021-11-06,Rose Namajunas,Zhang Weili,1,1.91,1.77
2021-11-06,Marlon Vera,Frankie Edgar,1,1.53,2.25
2021-11-06,Shane Burgos,Billy Quarantillo,1,1.5,2.37
2021-11-06,Bobby Green,Al Iaquinta,1,1.45,2.5
2021-10-30,Jan Blachowicz,Glover Teixeira,2,1.32,3.15
2021-10-30,Petr Yan,Cory Sandhagen,1,1.34,2.85
2021-10-30,Islam Makhachev,Dan Hooker,1,1.16,4.25
2021-10-30,Alexander Volkov,Marcin Tybura,1,1.3,3.1
2021-10-30,Magomed Ankalaev,Volkan Oezdemir,1,1.27,3.5
2021-10-30,Amanda Ribas,Virna Jandiroba,1,1.54,2.3
2021-10-23,Paulo Costa,Marvin Vettori,2,2.5,1.45
2021-09-25,Alexander Volkanovski,Brian Ortega,1,1.5,2.45
2021-09-25,Valentina Shevchenko,Lauren Murphy,1,1.05,8.25
2021-09-25,Curtis Blaydes,Jairzinho Rozenstruik,1,1.26,3.4
2021-09-25,Jessica Andrade,Cynthia Calvillo,1,1.43,2.65
2021-09-25,Dan Hooker,Nasrat Haqparast,1,1.61,2.25
